name	version	description	author	license	categories	last_publish	days_since_publish	downloads_last_month	github_stars	package_size_kb	gzip_size_kb	dependencies_count	peer_dependencies_count	dev_dependencies_count	engines_count	interoperability_score	readme_length	readme_has_examples	has_homepage	has_repository	documentation_score	npm_url	repository	homepage
dotenv	17.2.3	Loads environment variables from .env file	Unknown	BSD-2-Clause	General	9/29/2025	70	320181826	20200	7.9	3.33	0	0	7	1	100	23124	1	1	1	100	https://www.npmjs.com/package/dotenv	https://github.com/motdotla/dotenv	https://github.com/motdotla/dotenv#readme
axios	1.13.2	Promise based HTTP client for the browser and node.js	Matt Zabriskie	MIT	API Framework, CLI Tool	11/4/2025	34	311835998	108000	36.81	14.15	3	0	58	0	90	65536	1	1	1	100	https://www.npmjs.com/package/axios	https://github.com/axios/axios	https://axios-http.com
zod	4.1.13	TypeScript-first schema declaration and validation library with static type inference	Colin McDonnell	MIT	Validation	12/7/2025	1	254900896	41000	273.72	54.29	0	0	0	0	100	0	0	1	1	40	https://www.npmjs.com/package/zod	https://github.com/colinhacks/zod	https://zod.dev
react	19.2.1	React is a JavaScript library for building user interfaces.	Unknown	MIT	Frontend Framework, Build Tool, UI Component	12/9/2025	0	233238667	241000	7.42	2.83	0	0	0	1	100	0	0	1	1	40	https://www.npmjs.com/package/react	https://github.com/facebook/react	https://react.dev/
express	5.2.1	Fast, unopinionated, minimalist web framework	TJ Holowaychuk	MIT	Web Framework	12/9/2025	0	230153997	68327	0	0	28	0	16	1	80	0	0	1	1	40	https://www.npmjs.com/package/express	https://github.com/expressjs/express	https://expressjs.com/
rollup	4.53.3	Next-generation ES module bundler	Rich Harris	MIT	Full-stack Framework, Build Tool	11/19/2025	20	226279421	26100	420.02	114.34	1	0	88	2	100	10002	1	1	1	100	https://www.npmjs.com/package/rollup	https://github.com/rollup/rollup	https://rollupjs.org/
ora	9.0.0	Elegant terminal spinner	Sindre Sorhus	MIT	CLI Tool	10/14/2025	56	187141229	9500	0	0	9	0	6	1	100	9425	1	1	1	100	https://www.npmjs.com/package/ora	https://github.com/sindresorhus/ora	https://github.com/sindresorhus/ora#readme
vite	7.2.7	Native-ESM powered web dev build tool	Evan You	MIT	Build Tool, Utility, UI Component	12/8/2025	1	171429740	76982	0	0	6	11	56	1	80	0	0	1	1	40	https://www.npmjs.com/package/vite	https://github.com/vitejs/vite	https://vite.dev
inquirer	13.0.2	A collection of common interactive command line user interfaces.	Simon Boudrias	MIT	CLI Tool, UI Component	12/2/2025	6	165558533	N/A	0	0	7	1	3	1	100	22693	1	1	1	100	https://www.npmjs.com/package/inquirer	https://github.com/SBoudrias/Inquirer.js	https://github.com/SBoudrias/Inquirer.js/blob/main/packages/inquirer/README.md
date-fns	4.1.0	Modern JavaScript date utility library	Unknown	MIT	Utility	8/3/2025	128	156564891	36300	77.21	17.48	0	0	39	0	100	1783	1	1	1	80	https://www.npmjs.com/package/date-fns	https://github.com/date-fns/date-fns	https://github.com/date-fns/date-fns#readme
webpack	5.103.0	Packs ECMAScript/CommonJs/AMD modules for the browser. Allows you to split your codebase into multiple bundles, which can be loaded on demand. Supports loaders to preprocess files, i.e. json, jsx, es7, css, less, ... and your custom stuff.	Tobias Koppers @sokra	MIT	Build Tool	11/18/2025	21	150131873	65800	3528.3	853.91	25	0	86	1	80	65536	1	1	1	100	https://www.npmjs.com/package/webpack	https://github.com/webpack/webpack	https://github.com/webpack/webpack
jest	30.2.0	Delightful JavaScript Testing.	Unknown	MIT	Testing	9/28/2025	72	148993748	45200	0	0	4	1	0	1	100	0	0	1	1	40	https://www.npmjs.com/package/jest	https://github.com/jestjs/jest	https://jestjs.io/
prompts	2.4.2	Lightweight, beautiful and user-friendly prompts	Terkel Gjervig	MIT	CLI Tool, UI Component	10/21/2023	780	143223258	9200	80.85	14.4	2	0	6	1	100	28350	1	1	1	100	https://www.npmjs.com/package/prompts	https://github.com/terkelg/prompts	https://github.com/terkelg/prompts#readme
dayjs	1.11.19	2KB immutable date time library alternative to Moment.js with the same modern API 	iamkun	MIT	General	10/31/2025	39	130606962	48400	6.94	2.96	0	0	30	0	100	8919	1	1	1	100	https://www.npmjs.com/package/dayjs	https://github.com/iamkun/dayjs	https://day.js.org
chai	6.2.1	BDD/TDD assertion library for node.js and the browser. Test framework agnostic.	Jake Luer	MIT	Testing	11/11/2025	28	127719923	8300	65.04	16.64	0	0	18	1	100	6221	1	1	1	100	https://www.npmjs.com/package/chai	https://github.com/chaijs/chai	http://chaijs.com
got	14.6.5	Human-friendly and powerful HTTP request library for Node.js	Unknown	MIT	General	11/22/2025	17	112657634	14800	0	0	12	0	44	1	90	24489	1	1	1	100	https://www.npmjs.com/package/got	https://github.com/sindresorhus/got	https://github.com/sindresorhus/got#readme
moment	2.30.1	Parse, validate, manipulate, and display dates	Iskren Ivov Chernev	MIT	Database/ORM, UI Component	10/14/2025	56	111909267	48100	294.89	73.13	0	0	34	1	100	2468	0	1	1	70	https://www.npmjs.com/package/moment	https://github.com/moment/moment	https://momentjs.com
playwright	1.57.0	A high-level API to automate web browsers	Microsoft Corporation	Apache-2.0	General	12/9/2025	0	111566270	80000	0	0	1	0	0	1	100	0	0	1	1	40	https://www.npmjs.com/package/playwright	https://github.com/microsoft/playwright	https://playwright.dev
jsonwebtoken	9.0.3	JSON Web Token implementation (symmetric and asymmetric)	auth0	MIT	Security	12/4/2025	5	108879695	18100	53.25	15.39	10	0	8	2	100	17709	1	1	1	100	https://www.npmjs.com/package/jsonwebtoken	https://github.com/auth0/node-jsonwebtoken	https://github.com/auth0/node-jsonwebtoken#readme
cors	2.8.5	Node.js CORS middleware	Troy Goode	MIT	Web Framework	4/9/2025	244	106640032	6200	4.32	1.78	2	0	6	1	100	9206	1	1	1	100	https://www.npmjs.com/package/cors	https://github.com/expressjs/cors	https://github.com/expressjs/cors#readme
enquirer	2.4.1	Stylish, intuitive and user-friendly prompt system. Fast and lightweight enough for small projects, powerful and extensible enough for the most advanced use cases.	Jon Schlinkert	MIT	CLI Tool, UI Component	7/28/2023	865	92511932	7900	74.01	22.13	2	0	8	1	100	56172	1	1	1	100	https://www.npmjs.com/package/enquirer	https://github.com/enquirer/enquirer	https://github.com/enquirer/enquirer
react-router	7.10.1	Declarative routing for React	Remix Software	MIT	Frontend Framework	12/9/2025	0	90292783	56000	187.64	57.7	2	2	13	1	100	0	0	1	1	40	https://www.npmjs.com/package/react-router	https://github.com/remix-run/react-router	https://github.com/remix-run/react-router#readme
colors	1.4.0	get colors in your node.js console	Marak Squires	MIT	CLI Tool	9/9/2025	91	90228165	N/A	9.43	4.07	0	0	2	1	100	0	0	1	1	40	https://www.npmjs.com/package/colors	ssh://git@github.com/Marak/colors.js	https://github.com/Marak/colors.js
graphql	16.12.0	A Query Language and Runtime which can target any service.	Unknown	MIT	API Framework	11/13/2025	26	89792811	20300	175.8	42.15	0	0	0	1	100	8506	1	1	1	100	https://www.npmjs.com/package/graphql	https://github.com/graphql/graphql-js	https://github.com/graphql/graphql-js
sharp	0.34.5	High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, GIF, AVIF and TIFF images	Lovell Fuller	Apache-2.0	Database/ORM, Testing, UI Component	11/6/2025	33	87612756	31500	0	0	3	0	18	1	100	3160	1	1	1	90	https://www.npmjs.com/package/sharp	https://github.com/lovell/sharp	https://sharp.pixelplumbing.com
vitest	4.0.15	Next generation testing framework powered by Vite	Anthony Fu	MIT	Full-stack Framework, Testing, Build Tool	12/2/2025	7	79621830	15500	191.29	55.31	20	9	25	1	70	261	0	1	1	45	https://www.npmjs.com/package/vitest	https://github.com/vitest-dev/vitest	https://vitest.dev
react-router-dom	7.10.1	Declarative routing for React web applications	Remix Software	MIT	Frontend Framework	12/9/2025	0	78955525	56000	0.59	0.33	1	2	5	1	100	0	0	1	1	40	https://www.npmjs.com/package/react-router-dom	https://github.com/remix-run/react-router	https://github.com/remix-run/react-router#readme
@testing-library/react	16.3.0	Simple and complete React DOM testing utilities that encourage good testing practices.	Kent C. Dodds	MIT	Frontend Framework, Testing, UI Component	4/2/2025	251	78388572	19500	6.59	2.36	1	5	13	1	100	65536	1	1	1	100	https://www.npmjs.com/package/@testing-library/react	https://github.com/testing-library/react-testing-library	https://github.com/testing-library/react-testing-library#readme
busboy	1.6.0	A streaming parser for HTML form data for node.js	Brian White	N/A	Database/ORM, UI Component	6/19/2022	1269	75880550	3000	22.93	5.16	1	0	2	1	100	7926	1	1	1	100	https://www.npmjs.com/package/busboy	ssh://git@github.com/mscdex/busboy	https://github.com/mscdex/busboy#readme
boxen	8.0.1	Create boxes in the terminal	Sindre Sorhus	MIT	CLI Tool	8/5/2024	491	74868145	1600	44.14	11.74	8	0	4	1	100	4706	1	1	1	90	https://www.npmjs.com/package/boxen	https://github.com/sindresorhus/boxen	https://github.com/sindresorhus/boxen#readme
luxon	3.7.2	Immutable date wrapper	Isaac Cambron	MIT	General	9/5/2025	95	73822650	16300	81.59	24.07	0	0	20	1	100	2052	0	1	1	70	https://www.npmjs.com/package/luxon	https://github.com/moment/luxon	https://github.com/moment/luxon#readme
redux	5.0.1	Predictable state container for JavaScript apps	Unknown	MIT	State Management	5/6/2024	582	73778315	61400	3.66	1.44	0	0	20	0	100	8041	1	1	1	100	https://www.npmjs.com/package/redux	https://github.com/reduxjs/redux	http://redux.js.org
validator	13.15.23	String validation and sanitization	Chris O'Hara	MIT	Validation	11/10/2025	29	70903131	N/A	124.41	37.21	0	0	17	1	100	42083	1	1	1	100	https://www.npmjs.com/package/validator	https://github.com/validatorjs/validator.js	https://github.com/validatorjs/validator.js
winston	3.19.0	A logger for just about everything.	Charlie Robbins	MIT	Utility	12/7/2025	2	70452760	24200	148.39	37.52	11	0	16	1	90	36667	1	1	1	100	https://www.npmjs.com/package/winston	https://github.com/winstonjs/winston	https://github.com/winstonjs/winston#readme
next	16.0.8	The React Framework	Unknown	MIT	Frontend Framework, Full-stack Framework, CLI Tool	12/8/2025	0	67690404	N/A	0	0	5	6	221	1	90	0	0	1	1	40	https://www.npmjs.com/package/next	https://github.com/vercel/next.js	https://nextjs.org
react-hook-form	7.68.0	Performant, flexible and extensible forms library for React Hooks	Beier	MIT	Frontend Framework, Database/ORM, UI Component, Validation	12/7/2025	2	67081932	44300	32.09	11.27	0	1	38	1	100	0	0	1	1	40	https://www.npmjs.com/package/react-hook-form	https://github.com/react-hook-form/react-hook-form	https://react-hook-form.com
pino	10.1.0	super fast, all natural json logger	Matteo Collina	MIT	General	10/18/2025	52	66258352	16900	7.79	3	11	0	39	0	70	4864	1	1	1	90	https://www.npmjs.com/package/pino	https://github.com/pinojs/pino	https://getpino.io
formidable	3.5.4	A node.js module for parsing form data, especially file uploads.	Unknown	MIT	Database/ORM, Testing, UI Component	5/12/2025	210	61825366	N/A	0	0	3	0	18	1	100	0	0	1	1	40	https://www.npmjs.com/package/formidable	node-formidable/formidable	https://github.com/node-formidable/formidable
joi	18.0.2	Object schema validation	Unknown	BSD-3-Clause	Validation	11/19/2025	20	60229543	21200	167.83	52.65	7	0	7	1	100	458	0	1	1	45	https://www.npmjs.com/package/joi	https://github.com/hapijs/joi	https://github.com/hapijs/joi#readme
zustand	5.0.9	� Bear necessities for state management in React	Paul Henschel	MIT	Frontend Framework, State Management	11/30/2025	9	58521296	56100	1.25	0.59	0	4	0	1	100	17727	1	1	1	100	https://www.npmjs.com/package/zustand	https://github.com/pmndrs/zustand	https://github.com/pmndrs/zustand
superagent	10.2.3	elegant & feature rich browser / node HTTP with a fluent API	TJ Holowaychuk	MIT	Database/ORM, CLI Tool, UI Component	10/21/2025	49	57774015	16700	58.41	17.74	9	0	36	1	100	10605	1	1	1	100	https://www.npmjs.com/package/superagent	https://github.com/ladjs/superagent	https://github.com/ladjs/superagent
sockjs	0.3.24	SockJS-node is a server counterpart of SockJS-client a JavaScript library that provides a WebSocket-like object in the browser. SockJS gives you a coherent, cross-browser, Javascript API which creates a low latency, full duplex, cross-domain communication	Marek Majkowski	MIT	CLI Tool, Real-time	2/7/2023	1036	57177848	2100	87.79	26.28	3	0	1	0	90	16661	1	1	1	100	https://www.npmjs.com/package/sockjs	https://github.com/sockjs/sockjs-node	https://github.com/sockjs/sockjs-node
mocha	11.7.5	simple, flexible, fun test framework	TJ Holowaychuk	MIT	Testing	11/27/2025	12	54041079	22900	188.26	65.27	21	0	61	1	80	0	0	1	1	40	https://www.npmjs.com/package/mocha	https://github.com/mochajs/mocha	https://mochajs.org/
framer-motion	12.23.25	A simple and powerful JavaScript animation library	Matt Perry	MIT	Frontend Framework	12/2/2025	7	52407826	30500	186.39	56.87	3	3	3	0	80	6361	1	1	1	100	https://www.npmjs.com/package/framer-motion	https://github.com/motiondivision/motion	https://github.com/motiondivision/motion#readme
preact	10.28.0	Fast 3kb React-compatible Virtual DOM library.	Unknown	MIT	Frontend Framework, UI Component	12/1/2025	8	43571756	38200	11.74	4.73	0	0	37	0	100	14434	1	1	1	100	https://www.npmjs.com/package/preact	https://github.com/preactjs/preact	https://preactjs.com
i18next	25.7.2	i18next internationalization framework	Jan Mühlemann	MIT	Full-stack Framework	12/8/2025	1	43012539	8400	42.35	13	1	1	39	0	100	3896	0	1	1	70	https://www.npmjs.com/package/i18next	https://github.com/i18next/i18next	https://www.i18next.com
express-rate-limit	8.2.1	Basic IP rate-limiting middleware for Express. Use to limit repeated requests to public APIs and/or endpoints such as password reset.	Nathan Friedly	MIT	Web Framework, Security	10/31/2025	38	42212038	3200	33.33	10.19	1	1	23	1	100	9007	1	1	1	100	https://www.npmjs.com/package/express-rate-limit	https://github.com/express-rate-limit/express-rate-limit	https://github.com/express-rate-limit/express-rate-limit
ioredis	5.8.2	A robust, performance-focused and full-featured Redis client for Node.js.	Zihua Li	MIT	Database/ORM, CLI Tool, UI Component	12/3/2025	6	40882427	15100	132.41	39.29	9	0	30	1	100	0	0	1	1	40	https://www.npmjs.com/package/ioredis	https://github.com/luin/ioredis	https://github.com/luin/ioredis#readme
recharts	3.5.1	React charts	recharts group	MIT	Frontend Framework, UI Component	11/28/2025	11	39434500	26300	609.57	149.8	11	3	82	1	80	3964	1	1	1	90	https://www.npmjs.com/package/recharts	https://github.com/recharts/recharts	https://github.com/recharts/recharts
socket.io	4.8.1	node.js realtime framework server	Unknown	MIT	Real-time	5/8/2025	215	38465011	N/A	262.17	56.53	7	0	0	1	100	17267	1	1	1	100	https://www.npmjs.com/package/socket.io	https://github.com/socketio/socket.io	https://github.com/socketio/socket.io/tree/main/packages/socket.io#readme
multer	2.0.2	Middleware for handling `multipart/form-data`.	Unknown	MIT	Web Framework, Database/ORM, UI Component	7/17/2025	145	38308401	12000	227.89	45.15	7	0	9	1	100	13245	1	1	1	100	https://www.npmjs.com/package/multer	https://github.com/expressjs/multer	https://github.com/expressjs/multer#readme
engine.io	6.6.4	The realtime engine behind Socket.IO. Provides the foundation of a bidirectional connection between client and server	Guillermo Rauch	MIT	CLI Tool, Real-time	1/28/2025	315	38187684	N/A	210.03	42.55	9	0	0	1	100	22242	1	1	1	100	https://www.npmjs.com/package/engine.io	https://github.com/socketio/socket.io	https://github.com/socketio/socket.io/tree/main/packages/engine.io#readme
sinon	21.0.0	JavaScript test spies, stubs and mocks.	Christian Johansen	BSD-3-Clause	Testing	6/13/2025	179	37851965	9800	114.15	33.18	5	0	24	0	90	4810	0	1	1	70	https://www.npmjs.com/package/sinon	ssh://git@github.com/sinonjs/sinon	https://sinonjs.org/
yup	1.7.1	Dead simple Object schema validation	@monasticpanic Jason Quense	MIT	Validation	9/21/2025	79	36000616	23700	44.09	13.33	4	0	0	0	90	63139	1	1	1	100	https://www.npmjs.com/package/yup	https://github.com/jquense/yup	https://github.com/jquense/yup
vue	3.5.25	The progressive JavaScript framework for building modern web UI.	Evan You	MIT	Frontend Framework, Build Tool, UI Component	12/4/2025	5	33201223	52400	127.68	45.99	5	1	0	0	90	0	0	1	1	40	https://www.npmjs.com/package/vue	https://github.com/vuejs/core	https://github.com/vuejs/core/tree/main/packages/vue#readme
nodemailer	7.0.11	Easy as cake e-mail sending from your Node.js applications	Andris Reinman	MIT-0	General	11/26/2025	13	32248264	17400	209.98	56.01	0	0	14	1	100	5221	1	1	1	100	https://www.npmjs.com/package/nodemailer	https://github.com/nodemailer/nodemailer	https://nodemailer.com/
prisma	7.1.0	Prisma is an open-source database toolkit. It includes a JavaScript/TypeScript ORM for Node.js, migrations and a modern GUI to view and edit the data in your database. You can use Prisma in new projects or add it to an existing one.	Tim Suchanek	Apache-2.0	Database/ORM, CLI Tool, Utility, UI Component	12/9/2025	0	28819015	44700	0	0	6	2	57	1	100	0	0	1	1	40	https://www.npmjs.com/package/prisma	https://github.com/prisma/prisma	https://www.prisma.io
react-i18next	16.4.0	Internationalization for react done right. Using the i18next i18n ecosystem.	Jan Mühlemann	MIT	Frontend Framework, Full-stack Framework	12/5/2025	4	28752697	9800	23	8.82	3	3	51	0	80	10647	1	1	1	100	https://www.npmjs.com/package/react-i18next	https://github.com/i18next/react-i18next	https://github.com/i18next/react-i18next
redis	5.10.0	A modern, high performance Redis client	Unknown	MIT	Database/ORM, CLI Tool, UI Component	11/19/2025	20	28576493	17400	0	0	5	0	0	1	100	13476	1	1	1	100	https://www.npmjs.com/package/redis	https://github.com/redis/node-redis	https://github.com/redis/node-redis
cypress	15.7.1	Cypress is a next generation front end testing tool built for the modern web	Unknown	MIT	Full-stack Framework, Testing, Utility, UI Component	12/2/2025	6	27282189	49500	1521.63	452.93	42	0	0	1	80	0	0	1	1	40	https://www.npmjs.com/package/cypress	https://github.com/cypress-io/cypress	https://cypress.io
puppeteer	24.32.1	A high-level API to control headless Chrome over the DevTools Protocol	The Chromium Authors	Apache-2.0	Utility	12/8/2025	1	26931649	93000	0	0	6	0	1	1	100	2138	1	1	1	90	https://www.npmjs.com/package/puppeteer	https://github.com/puppeteer/puppeteer#main	https://github.com/puppeteer/puppeteer/tree/main#readme
@mui/material	7.3.6	Material UI is an open-source React component library that implements Google's Material Design. It's comprehensive and can be used in production out of the box.	MUI Team	MIT	Frontend Framework, UI Component	12/3/2025	6	26657136	97400	812.2	177.12	12	6	0	1	70	2274	0	1	1	70	https://www.npmjs.com/package/@mui/material	https://github.com/mui/material-ui	https://mui.com/material-ui/
@nestjs/core	11.1.9	Nest - modern, fast, powerful node.js web framework (@core)	Kamil Mysliwiec	MIT	Web Framework	11/14/2025	25	25003485	73792	189.03	49.3	6	6	1	1	80	12826	0	1	1	80	https://www.npmjs.com/package/@nestjs/core	https://github.com/nestjs/nest	https://nestjs.com
chart.js	4.5.1	Simple HTML5 charts using the canvas element.	Unknown	MIT	General	10/13/2025	57	24599678	N/A	202.85	67.82	1	0	45	1	100	2605	0	1	1	70	https://www.npmjs.com/package/chart.js	https://github.com/chartjs/Chart.js	https://www.chartjs.org
class-validator	0.14.3	Decorator-based property validation for classes.	TypeStack contributors	MIT	Validation	11/24/2025	15	24186795	11700	377.72	99	3	0	0	0	90	55238	1	1	1	100	https://www.npmjs.com/package/class-validator	https://github.com/typestack/class-validator	https://github.com/typestack/class-validator#readme
d3	7.9.0	Data-Driven Documents	Mike Bostock	ISC	General	5/17/2025	206	23848429	112000	290.35	90.66	30	0	10	1	80	754	0	1	1	50	https://www.npmjs.com/package/d3	https://github.com/d3/d3	https://d3js.org
helmet	8.1.0	help secure Express/Connect apps with various HTTP headers	Adam Baldwin	MIT	Web Framework, Security	3/17/2025	266	23808295	10600	11.95	3.17	0	0	0	1	100	20206	1	1	1	100	https://www.npmjs.com/package/helmet	https://github.com/helmetjs/helmet	https://helmetjs.github.io/
cookie-parser	1.4.7	Parse HTTP request cookies	TJ Holowaychuk	MIT	General	10/8/2024	426	22553463	2000	4.33	1.72	2	0	10	1	100	4474	1	1	1	90	https://www.npmjs.com/package/cookie-parser	https://github.com/expressjs/cookie-parser	https://github.com/expressjs/cookie-parser#readme
koa	3.1.1	Koa web app framework	Unknown	MIT	Web Framework	10/27/2025	43	22490896	35697	0	0	18	0	5	1	90	17317	1	1	1	100	https://www.npmjs.com/package/koa	https://github.com/koajs/koa	https://koajs.com
bcryptjs	3.0.3	Optimized bcrypt in plain JavaScript with zero dependencies, with TypeScript support. Compatible to 'bcrypt'.	Daniel Wirtz	BSD-3-Clause	Security	11/2/2025	36	22370515	N/A	20.1	9.15	0	0	4	0	100	7628	1	1	1	100	https://www.npmjs.com/package/bcryptjs	https://github.com/dcodeIO/bcrypt.js	https://github.com/dcodeIO/bcrypt.js#readme
passport	0.7.0	Simple, unobtrusive authentication for Node.js.	Jared Hanson	MIT	Web Framework, Security	1/10/2025	333	19498475	23500	9.22	2.73	3	0	6	1	100	9657	1	1	1	100	https://www.npmjs.com/package/passport	https://github.com/jaredhanson/passport	https://www.passportjs.org/
@angular/core	21.0.3	Angular - the core framework	angular	MIT	Frontend Framework	12/3/2025	6	18869936	99500	0	0	1	3	0	1	100	0	0	1	1	40	https://www.npmjs.com/package/@angular/core	https://github.com/angular/angular	https://github.com/angular/angular#readme
vue-router	4.6.3	> - This is the repository for Vue Router 4 (for Vue 3) > - For Vue Router 3 (for Vue 2) see [vuejs/vue-router](https://github.com/vuejs/vue-router).	Eduardo San Martin Morote	MIT	Frontend Framework	10/16/2025	54	18010172	4400	36.37	13.14	1	1	27	0	100	5668	0	1	1	80	https://www.npmjs.com/package/vue-router	https://github.com/vuejs/router	https://router.vuejs.org
jspdf	3.0.4	PDF Document creation from JavaScript	Unknown	MIT	General	11/19/2025	20	17656570	30900	395.86	124.31	3	0	50	0	90	11424	1	1	1	100	https://www.npmjs.com/package/jspdf	https://github.com/parallax/jsPDF	https://github.com/parallax/jsPDF
node-cache	5.1.2	Simple and fast NodeJS internal caching. Node internal in memory cache like memcached.	mpneuried	MIT	General	10/22/2024	413	16950248	2400	8.77	3.02	1	0	17	1	100	20323	1	1	1	100	https://www.npmjs.com/package/node-cache	https://github.com/node-cache/node-cache	https://github.com/node-cache/node-cache
mongoose	9.0.1	Mongoose MongoDB ODM	Guillermo Rauch	MIT	Database/ORM, State Management, Validation	12/5/2025	4	15785525	27400	1276.45	341.43	6	0	33	1	100	13747	1	1	1	100	https://www.npmjs.com/package/mongoose	https://github.com/Automattic/mongoose	https://mongoosejs.com
lit	3.3.1	A library for building fast, lightweight web components	Google LLC	BSD-3-Clause	Build Tool, UI Component	7/11/2025	151	15068577	20900	15.8	5.93	3	0	5	0	90	2312	1	1	1	90	https://www.npmjs.com/package/lit	https://github.com/lit/lit	https://lit.dev/
@headlessui/react	2.2.9	A set of completely unstyled, fully accessible UI components for React, designed to integrate beautifully with Tailwind CSS.	Unknown	MIT	Frontend Framework, UI Component	12/4/2025	4	14555575	28200	203.08	59.76	5	2	8	1	100	0	0	1	1	40	https://www.npmjs.com/package/@headlessui/react	https://github.com/tailwindlabs/headlessui	https://github.com/tailwindlabs/headlessui#readme
fastify	5.6.2	Fast and low overhead web framework, for Node.js	Matteo Collina	MIT	Web Framework, Validation	11/9/2025	30	13985840	35162	0	0	15	0	35	0	70	16551	1	1	1	100	https://www.npmjs.com/package/fastify	https://github.com/fastify/fastify	https://fastify.dev/
formik	2.4.9	Build forms in React, without the tears	Jared Palmer	Apache-2.0	Frontend Framework, Database/ORM, Build Tool, UI Component, Validation	11/10/2025	29	13800583	34400	44.86	13.21	8	1	11	0	80	6268	0	1	1	80	https://www.npmjs.com/package/formik	https://github.com/jaredpalmer/formik	https://formik.org
bcrypt	6.0.0	A bcrypt library for NodeJS.	Nick Campbell	MIT	Security	10/16/2025	54	13039993	N/A	6.96	2.36	2	0	2	1	100	17300	1	1	1	100	https://www.npmjs.com/package/bcrypt	https://github.com/kelektiv/node.bcrypt.js	https://github.com/kelektiv/node.bcrypt.js#readme
typeorm	0.3.28	Data-Mapper ORM for TypeScript and ES2021+. Supports MySQL/MariaDB, PostgreSQL, MS SQL Server, Oracle, SAP HANA, SQLite, MongoDB databases.	TypeORM	MIT	Database/ORM	12/8/2025	0	12563651	36100	665.25	143.41	15	16	56	1	70	0	0	1	1	40	https://www.npmjs.com/package/typeorm	https://github.com/typeorm/typeorm	https://typeorm.io
