name,version,description,author,license,categories,last_publish,days_since_publish,downloads_last_month,github_stars,package_size_kb,gzip_size_kb,npm_url,repository,homepage
consola,3.4.2,Elegant Console Wrapper,Unknown,MIT,"Database/ORM, CLI Tool, UI Component",2025-03-18,251,83861981,7000,"6,5","2,45",https://www.npmjs.com/package/consola,https://github.com/unjs/consola,https://github.com/unjs/consola#readme
colors,1.4.0,get colors in your node.js console,Marak Squires,MIT,CLI Tool,2025-09-09,76,83408942,5200,"9,43","4,07",https://www.npmjs.com/package/colors,ssh://git@github.com/Marak/colors.js,https://github.com/Marak/colors.js
sharp,0.34.5,"High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, GIF, AVIF and TIFF images",Lovell Fuller,Apache-2.0,"Database/ORM, Testing, UI Component",2025-11-06,18,82397156,31400,534,0,https://www.npmjs.com/package/sharp,https://github.com/lovell/sharp,https://sharp.pixelplumbing.com
react-transition-group,4.4.5,A react component toolset for managing animations,Unknown,BSD-3-Clause,"Frontend Framework, Utility, UI Component",2023-06-09,899,79261082,10300,"13,73","4,03",https://www.npmjs.com/package/react-transition-group,https://github.com/reactjs/react-transition-group,https://github.com/reactjs/react-transition-group#readme
npmlog,7.0.1,logger for npm,GitHub Inc.,ISC,General,2025-05-14,194,77314584,439,"37,41","10,9",https://www.npmjs.com/package/npmlog,https://github.com/npm/npmlog,https://github.com/npm/npmlog#readme
vitest,4.0.13,Next generation testing framework powered by Vite,Anthony Fu,MIT,"Full-stack Framework, Testing, Build Tool",2025-11-21,3,74346761,15400,"191,13","55,25",https://www.npmjs.com/package/vitest,https://github.com/vitest-dev/vitest,https://vitest.dev
@testing-library/react,16.3.0,Simple and complete React DOM testing utilities that encourage good testing practices.,Kent C. Dodds,MIT,"Frontend Framework, Testing, UI Component",2025-04-02,236,73846373,19500,"6,59","2,36",https://www.npmjs.com/package/@testing-library/react,https://github.com/testing-library/react-testing-library,https://github.com/testing-library/react-testing-library#readme
react-router-dom,7.9.6,Declarative routing for React web applications,Remix Software,MIT,Frontend Framework,2025-11-22,2,73610498,56000,"0,59","0,33",https://www.npmjs.com/package/react-router-dom,https://github.com/remix-run/react-router,https://github.com/remix-run/react-router#readme
busboy,1.6.0,A streaming parser for HTML form data for node.js,Brian White,N/A,"Database/ORM, UI Component",2022-06-19,1254,71089329,3000,"22,93","5,16",https://www.npmjs.com/package/busboy,ssh://git@github.com/mscdex/busboy,https://github.com/mscdex/busboy#readme
luxon,3.7.2,Immutable date wrapper,Isaac Cambron,MIT,General,2025-09-05,80,70496398,16200,"81,59","24,07",https://www.npmjs.com/package/luxon,https://github.com/moment/luxon,https://github.com/moment/luxon#readme
redux,5.0.1,Predictable state container for JavaScript apps,Unknown,MIT,State Management,2024-05-06,567,69061002,61400,"3,66","1,44",https://www.npmjs.com/package/redux,https://github.com/reduxjs/redux,http://redux.js.org
validator,13.15.23,String validation and sanitization,Chris O'Hara,MIT,Validation,2025-11-10,14,68238276,23700,"124,41","37,21",https://www.npmjs.com/package/validator,https://github.com/validatorjs/validator.js,https://github.com/validatorjs/validator.js
winston,3.18.3,A logger for just about everything.,Charlie Robbins,MIT,Utility,2025-09-30,55,67907544,24200,"148,1","37,46",https://www.npmjs.com/package/winston,https://github.com/winstonjs/winston,https://github.com/winstonjs/winston#readme
cac,6.7.14,Simple yet powerful framework for building command-line apps.,egoist,MIT,"Build Tool, UI Component",2025-09-15,70,67295541,2900,"9,68","3,52",https://www.npmjs.com/package/cac,https://github.com/egoist/cac,https://github.com/egoist/cac#readme
boxen,8.0.1,Create boxes in the terminal,Sindre Sorhus,MIT,CLI Tool,2024-08-05,476,66905773,1600,"44,14","11,74",https://www.npmjs.com/package/boxen,https://github.com/sindresorhus/boxen,https://github.com/sindresorhus/boxen#readme
underscore,1.13.7,JavaScript's functional programming helper library.,Jeremy Ashkenas,MIT,"CLI Tool, Utility",2024-11-04,385,64415882,27400,"29,83","8,22",https://www.npmjs.com/package/underscore,https://github.com/jashkenas/underscore,https://underscorejs.org
pino,10.1.0,"super fast, all natural json logger",Matteo Collina,MIT,General,2025-10-18,37,62918934,16900,"7,79",3,https://www.npmjs.com/package/pino,https://github.com/pinojs/pino,https://getpino.io
next,16.0.4,The React Framework,Unknown,MIT,"Frontend Framework, Full-stack Framework, CLI Tool",2025-11-24,0,60875748,136000,139000,0,https://www.npmjs.com/package/next,https://github.com/vercel/next.js,https://nextjs.org
react-hook-form,7.66.1,"Performant, flexible and extensible forms library for React Hooks",Beier,MIT,"Frontend Framework, Database/ORM, UI Component, Validation",2025-11-17,7,60017082,44200,"31,89","11,21",https://www.npmjs.com/package/react-hook-form,https://github.com/react-hook-form/react-hook-form,https://react-hook-form.com
dompurify,3.3.0,"DOMPurify is a DOM-only, super-fast, uber-tolerant XSS sanitizer for HTML, MathML and SVG. It's written in JavaScript and works in all modern browsers (Safari, Opera (15+), Internet Explorer (10+), Firefox and Chrome - as well as almost anything else usin","Dr.-Ing. Mario Heiderich, Cure53",(MPL-2.0 OR Apache-2.0),Security,2025-10-13,42,60010419,16300,"22,26","8,43",https://www.npmjs.com/package/dompurify,https://github.com/cure53/DOMPurify,https://github.com/cure53/DOMPurify
fecha,4.2.3,Date formatting and parsing,Taylor Hakes,MIT,"Database/ORM, UI Component",2022-06-18,1255,59512746,2100,"6,11","2,38",https://www.npmjs.com/package/fecha,https://taylorhakes@github.com/taylorhakes/fecha,https://github.com/taylorhakes/fecha
request,2.88.2,Simplified HTTP request client.,Mikeal Rogers,Apache-2.0,"CLI Tool, Utility",2025-10-14,41,59027265,25600,"690,65","185,77",https://www.npmjs.com/package/request,https://github.com/request/request,https://github.com/request/request#readme
formidable,3.5.4,"A node.js module for parsing form data, especially file uploads.",Unknown,MIT,"Database/ORM, Testing, UI Component",2025-05-12,196,58847388,7200,204,0,https://www.npmjs.com/package/formidable,node-formidable/formidable,https://github.com/node-formidable/formidable
joi,18.0.2,Object schema validation,Unknown,BSD-3-Clause,Validation,2025-11-19,5,57824453,21200,"167,83","52,65",https://www.npmjs.com/package/joi,https://github.com/hapijs/joi,https://github.com/hapijs/joi#readme
styled-jsx,5.1.7,Full CSS support for JSX without compromises,Unknown,MIT,General,2025-04-30,208,57571605,7800,"8,55","2,86",https://www.npmjs.com/package/styled-jsx,https://github.com/vercel/styled-jsx,https://github.com/vercel/styled-jsx#readme
zustand,5.0.8,🐻 Bear necessities for state management in React,Paul Henschel,MIT,"Frontend Framework, State Management",2025-08-19,97,55404016,55900,"1,25","0,59",https://www.npmjs.com/package/zustand,https://github.com/pmndrs/zustand,https://github.com/pmndrs/zustand
del,8.0.1,Delete files and directories,Sindre Sorhus,MIT,General,2025-09-18,67,55392006,1300,"89,9","27,75",https://www.npmjs.com/package/del,https://github.com/sindresorhus/del,https://github.com/sindresorhus/del#readme
superagent,10.2.3,elegant & feature rich browser / node HTTP with a fluent API,TJ Holowaychuk,MIT,"Database/ORM, CLI Tool, UI Component",2025-10-21,34,54875411,16700,"58,41","17,74",https://www.npmjs.com/package/superagent,https://github.com/ladjs/superagent,https://github.com/ladjs/superagent
@radix-ui/react-dialog,1.1.15,View docs [here](https://radix-ui.com/primitives/docs/components/dialog).,Unknown,MIT,"Frontend Framework, UI Component",2025-10-29,26,53281354,18200,"66,02","17,93",https://www.npmjs.com/package/@radix-ui/react-dialog,https://github.com/radix-ui/primitives,https://radix-ui.com/primitives
sockjs,0.3.24,"SockJS-node is a server counterpart of SockJS-client a JavaScript library that provides a WebSocket-like object in the browser. SockJS gives you a coherent, cross-browser, Javascript API which creates a low latency, full duplex, cross-domain communication",Marek Majkowski,MIT,"CLI Tool, Real-time",2023-02-07,1021,53114299,2100,"87,79","26,28",https://www.npmjs.com/package/sockjs,https://github.com/sockjs/sockjs-node,https://github.com/sockjs/sockjs-node
cheerio,1.1.2,"The fast, flexible & elegant library for parsing and manipulating HTML and XML.",Matt Mueller,MIT,General,2025-10-13,42,52845302,29900,"334,6","97,85",https://www.npmjs.com/package/cheerio,https://github.com/cheeriojs/cheerio,https://cheerio.js.org/
moment-timezone,0.6.0,Parse and display moments in any timezone.,Tim Wood,MIT,General,2025-05-25,183,50065690,3900,"1009,71","111,62",https://www.npmjs.com/package/moment-timezone,https://github.com/moment/moment-timezone,http://momentjs.com/timezone/
@emotion/react,11.14.0,> Simple styling in React.,Emotion Contributors,MIT,Frontend Framework,2024-12-09,350,49975356,17900,"22,91","8,57",https://www.npmjs.com/package/@emotion/react,https://github.com/emotion-js/emotion#main,https://github.com/emotion-js/emotion/tree/main#readme
framer-motion,12.23.24,A simple and powerful JavaScript animation library,Matt Perry,MIT,Frontend Framework,2025-11-07,17,49822962,30400,"186,34","56,8",https://www.npmjs.com/package/framer-motion,https://github.com/motiondivision/motion,https://github.com/motiondivision/motion#readme
mocha,11.7.5,"simple, flexible, fun test framework",TJ Holowaychuk,MIT,Testing,2025-11-14,10,49342651,22900,"188,26","65,27",https://www.npmjs.com/package/mocha,https://github.com/mochajs/mocha,https://mochajs.org/
pg,8.16.3,PostgreSQL client - pure javascript & libpq with the same API,Brian Carlson,MIT,"Database/ORM, CLI Tool",2025-06-27,150,48739738,13000,"76,05","22,61",https://www.npmjs.com/package/pg,https://github.com/brianc/node-postgres,https://github.com/brianc/node-postgres
loglevel,1.9.2,"Minimal lightweight logging for JavaScript, adding reliable log level methods to any available console.log methods",Tim Perry,MIT,CLI Tool,2024-09-06,444,47807293,2700,"3,27","1,37",https://www.npmjs.com/package/loglevel,https://github.com/pimterry/loglevel,https://github.com/pimterry/loglevel
pretty-ms,9.3.0,Convert milliseconds to a human readable string: `1337000000` → `15d 11h 23m 20s`,Sindre Sorhus,MIT,General,2025-09-15,70,46757174,1200,"2,66","1,18",https://www.npmjs.com/package/pretty-ms,https://github.com/sindresorhus/pretty-ms,https://github.com/sindresorhus/pretty-ms#readme
ramda,0.32.0,A practical functional library for JavaScript programmers.,Scott Sauyet,MIT,Utility,2025-10-10,45,46522090,24100,"61,38","14,46",https://www.npmjs.com/package/ramda,https://github.com/ramda/ramda,https://ramdajs.com/
cross-env,10.1.0,Run scripts that set and use environment variables across platforms,Kent C. Dodds,MIT,"Database/ORM, UI Component",2025-09-29,56,45598799,6500,"8,3","3,38",https://www.npmjs.com/package/cross-env,https://github.com/kentcdodds/cross-env,https://github.com/kentcdodds/cross-env#readme
i18next,25.6.3,i18next internationalization framework,Jan Mühlemann,MIT,Full-stack Framework,2025-11-19,5,40979504,8400,"42,16","12,97",https://www.npmjs.com/package/i18next,https://github.com/i18next/i18next,https://www.i18next.com
needle,3.3.1,The leanest and most handsome HTTP client in the Nodelands.,Tomás Pollak,MIT,CLI Tool,2023-12-12,713,40287050,1600,"304,5","164,94",https://www.npmjs.com/package/needle,https://github.com/tomas/needle,https://github.com/tomas/needle#readme
ioredis,5.8.2,"A robust, performance-focused and full-featured Redis client for Node.js.",Zihua Li,MIT,"Database/ORM, CLI Tool, UI Component",2025-10-21,34,39210079,15100,"132,41","39,29",https://www.npmjs.com/package/ioredis,https://github.com/luin/ioredis,https://github.com/luin/ioredis#readme
preact,10.27.2,Fast 3kb React-compatible Virtual DOM library.,Unknown,MIT,"Frontend Framework, UI Component",2025-09-13,72,39136731,38166,"11,75","4,74",https://www.npmjs.com/package/preact,https://github.com/preactjs/preact,https://preactjs.com
nodemon,3.1.11,Simple monitor script for use during development of a Node.js app.,Remy Sharp,MIT,CLI Tool,2025-11-11,13,39112654,26700,"140,95","48,81",https://www.npmjs.com/package/nodemon,https://github.com/remy/nodemon,https://nodemon.io
npm,11.6.3,a package manager for JavaScript,GitHub Inc.,Artistic-2.0,General,2025-11-19,5,39075913,9300,"6,91","2,73",https://www.npmjs.com/package/npm,https://github.com/npm/cli,https://docs.npmjs.com/
concurrently,9.2.1,Run commands concurrently,Kimmo Brunfeldt,MIT,General,2025-10-20,35,38956096,7600,"162,04","41,5",https://www.npmjs.com/package/concurrently,https://github.com/open-cli-tools/concurrently,https://github.com/open-cli-tools/concurrently#readme
express-rate-limit,8.2.1,Basic IP rate-limiting middleware for Express. Use to limit repeated requests to public APIs and/or endpoints such as password reset.,Nathan Friedly,MIT,"Web Framework, Security",2025-10-31,24,38947115,3200,"33,33","10,19",https://www.npmjs.com/package/express-rate-limit,https://github.com/express-rate-limit/express-rate-limit,https://github.com/express-rate-limit/express-rate-limit
redux-thunk,3.1.0,Thunk middleware for Redux.,Dan Abramov,MIT,State Management,2024-05-06,567,38620381,17700,"0,34","0,24",https://www.npmjs.com/package/redux-thunk,https://github.com/reduxjs/redux-thunk,https://github.com/reduxjs/redux-thunk
eslint-config-next,16.0.4,ESLint configuration used by Next.js.,Unknown,MIT,Full-stack Framework,2025-11-24,0,37682749,136000,"14,2",0,https://www.npmjs.com/package/eslint-config-next,https://github.com/vercel/next.js,https://nextjs.org/docs/app/api-reference/config/eslint
socket.io,4.8.1,node.js realtime framework server,Unknown,MIT,Real-time,2025-05-08,200,36292914,62600,"262,17","56,53",https://www.npmjs.com/package/socket.io,https://github.com/socketio/socket.io,https://github.com/socketio/socket.io/tree/main/packages/socket.io#readme
recharts,3.5.0,React charts,recharts group,MIT,"Frontend Framework, UI Component",2025-11-23,1,36290869,26300,"596,75","146,05",https://www.npmjs.com/package/recharts,https://github.com/recharts/recharts,https://github.com/recharts/recharts
multer,2.0.2,Middleware for handling `multipart/form-data`.,Unknown,MIT,"Web Framework, Database/ORM, UI Component",2025-07-17,130,36205541,12000,"227,89","45,15",https://www.npmjs.com/package/multer,https://github.com/expressjs/multer,https://github.com/expressjs/multer#readme
engine.io,6.6.4,The realtime engine behind Socket.IO. Provides the foundation of a bidirectional connection between client and server,Guillermo Rauch,MIT,"CLI Tool, Real-time",2025-01-28,300,36038823,62600,"210,03","42,55",https://www.npmjs.com/package/engine.io,https://github.com/socketio/socket.io,https://github.com/socketio/socket.io/tree/main/packages/engine.io#readme
@emotion/styled,11.14.1,styled API for emotion,Unknown,MIT,General,2025-06-26,151,35832666,17900,"11,94","5,28",https://www.npmjs.com/package/@emotion/styled,https://github.com/emotion-js/emotion#main,https://github.com/emotion-js/emotion/tree/main#readme
sinon,21.0.0,"JavaScript test spies, stubs and mocks.",Christian Johansen,BSD-3-Clause,Testing,2025-06-13,164,35170047,9800,"114,15","33,18",https://www.npmjs.com/package/sinon,ssh://git@github.com/sinonjs/sinon,https://sinonjs.org/
supertest,7.1.4,SuperAgent driven library for testing HTTP servers,TJ Holowaychuk,MIT,"Web Framework, Testing",2025-10-21,34,35140797,14200,"63,62","19,59",https://www.npmjs.com/package/supertest,https://github.com/ladjs/supertest,https://github.com/ladjs/supertest#readme
yup,1.7.1,Dead simple Object schema validation,@monasticpanic Jason Quense,MIT,Validation,2025-09-21,64,34504199,23600,"44,09","13,33",https://www.npmjs.com/package/yup,https://github.com/jquense/yup,https://github.com/jquense/yup
mustache,4.2.0,Logic-less {{mustache}} templates with JavaScript,mustache.js Authors,MIT,General,2024-10-22,398,34360869,16700,"6,43","2,6",https://www.npmjs.com/package/mustache,https://github.com/janl/mustache.js,https://github.com/janl/mustache.js
mongodb,7.0.0,The official MongoDB driver for Node.js,The MongoDB NodeJS Team,Apache-2.0,Database/ORM,2025-11-21,3,33535665,10200,"765,5","203,74",https://www.npmjs.com/package/mongodb,ssh://git@github.com/mongodb/node-mongodb-native,https://github.com/mongodb/node-mongodb-native
@reduxjs/toolkit,2.11.0,"The official, opinionated, batteries-included toolset for efficient Redux development",Mark Erikson,MIT,"Frontend Framework, Utility, State Management",2025-11-23,1,30871659,11100,"40,6","13,83",https://www.npmjs.com/package/@reduxjs/toolkit,https://github.com/reduxjs/redux-toolkit,https://redux-toolkit.js.org
nodemailer,7.0.10,Easy as cake e-mail sending from your Node.js applications,Andris Reinman,MIT-0,General,2025-10-23,32,30499064,17300,"209,92","55,97",https://www.npmjs.com/package/nodemailer,https://github.com/nodemailer/nodemailer,https://nodemailer.com/
vue,3.5.25,The progressive JavaScript framework for building modern web UI.,Evan You,MIT,"Frontend Framework, Build Tool, UI Component",2025-11-24,0,30451370,52229,"127,28","45,84",https://www.npmjs.com/package/vue,https://github.com/vuejs/core,https://github.com/vuejs/core/tree/main/packages/vue#readme
styled-components,6.1.19,"CSS for the <Component> Age. Style components your way with speed, strong typing, and flexibility.",Glen Maddern,MIT,"Frontend Framework, UI Component",2025-06-12,165,30095787,41000,"30,19","11,05",https://www.npmjs.com/package/styled-components,https://github.com/styled-components/styled-components,https://styled-components.com
msw,2.12.3,Seamless REST/GraphQL API mocking library for browser and Node.js.,Artem Zakharchenko,MIT,"API Framework, Testing",2025-11-23,1,29453031,17300,"215,29","74,08",https://www.npmjs.com/package/msw,https://github.com/mswjs/msw,https://mswjs.io
yarn,1.22.22,"📦🐈 Fast, reliable, and secure dependency management.",Unknown,BSD-2-Clause,General,2024-04-16,587,28939830,41500,5340,0,https://www.npmjs.com/package/yarn,https://github.com/yarnpkg/yarn,https://github.com/yarnpkg/yarn#readme
morgan,1.10.1,HTTP request logger middleware for node.js,Unknown,MIT,Web Framework,2025-07-17,130,28831865,8100,"13,5","4,91",https://www.npmjs.com/package/morgan,https://github.com/expressjs/morgan,https://github.com/expressjs/morgan#readme
socket.io-client,4.8.1,Realtime application framework client,Unknown,MIT,"CLI Tool, Real-time",2024-10-25,395,27980029,62600,"41,87","12,72",https://www.npmjs.com/package/socket.io-client,https://github.com/socketio/socket.io,https://github.com/socketio/socket.io/tree/main/packages/socket.io-client#readme
log4js,6.9.1,Port of Log4js to work with node.,Unknown,Apache-2.0,General,2023-03-08,992,27931350,5800,"37,34","12,61",https://www.npmjs.com/package/log4js,https://github.com/log4js-node/log4js-node,https://log4js-node.github.io/log4js-node/
redis,5.10.0,"A modern, high performance Redis client",Unknown,MIT,"Database/ORM, CLI Tool, UI Component",2025-11-19,5,27709593,17400,249,0,https://www.npmjs.com/package/redis,https://github.com/redis/node-redis,https://github.com/redis/node-redis
nx,22.1.1,"The core Nx plugin contains the core functionality of Nx like the project graph, nx commands and task orchestration.",Victor Savkin,MIT,"Frontend Framework, Testing, CLI Tool",2025-11-24,0,27519106,27600,9920,0,https://www.npmjs.com/package/nx,https://github.com/nrwl/nx,https://nx.dev
react-i18next,16.3.5,Internationalization for react done right. Using the i18next i18n ecosystem.,Jan Mühlemann,MIT,"Frontend Framework, Full-stack Framework",2025-11-19,5,27269989,9800,"22,78","8,77",https://www.npmjs.com/package/react-i18next,https://github.com/i18next/react-i18next,https://github.com/i18next/react-i18next
prisma,7.0.0,"Prisma is an open-source database toolkit. It includes a JavaScript/TypeScript ORM for Node.js, migrations and a modern GUI to view and edit the data in your database. You can use Prisma in new projects or add it to an existing one.",Tim Suchanek,Apache-2.0,"Database/ORM, CLI Tool, Utility, UI Component",2025-11-24,0,26419895,44500,19800,0,https://www.npmjs.com/package/prisma,https://github.com/prisma/prisma,https://www.prisma.io
cypress,15.7.0,Cypress is a next generation front end testing tool built for the modern web,Unknown,MIT,"Full-stack Framework, Testing, Utility, UI Component",2025-11-19,5,26286919,49400,"1521,63","452,93",https://www.npmjs.com/package/cypress,https://github.com/cypress-io/cypress,https://cypress.io
stylelint,16.26.0,A mighty CSS linter that helps you avoid errors and enforce conventions.,stylelint,MIT,General,2025-11-21,3,26139838,11400,1760,0,https://www.npmjs.com/package/stylelint,https://github.com/stylelint/stylelint,https://stylelint.io
@mui/material,7.3.5,Material UI is an open-source React component library that implements Google's Material Design. It's comprehensive and can be used in production out of the box.,MUI Team,MIT,"Frontend Framework, UI Component",2025-11-04,20,25678921,97300,"811,31","176,93",https://www.npmjs.com/package/@mui/material,https://github.com/mui/material-ui,https://mui.com/material-ui/
isomorphic-fetch,3.0.0,"Isomorphic WHATWG Fetch API, for Node & Browserify",Matt Andrews,MIT,General,2023-10-23,762,25419937,6900,"10,23","3,53",https://www.npmjs.com/package/isomorphic-fetch,https://github.com/matthew-andrews/isomorphic-fetch,https://github.com/matthew-andrews/isomorphic-fetch/issues
puppeteer,24.31.0,A high-level API to control headless Chrome over the DevTools Protocol,The Chromium Authors,Apache-2.0,Utility,2025-11-20,4,24863865,92900,"380,16","101,58",https://www.npmjs.com/package/puppeteer,https://github.com/puppeteer/puppeteer#main,https://github.com/puppeteer/puppeteer/tree/main#readme
graphql-request,7.3.4,Minimal GraphQL client supporting Node and browsers for scripts or simple apps.,Jason Kuhrt,MIT,"API Framework, CLI Tool",2025-11-17,7,24303670,6080,"9,01","2,95",https://www.npmjs.com/package/graphql-request,https://github.com/graffle-js/graffle,https://github.com/graffle-js/graffle/tree/graphql-request
effect,3.19.6,"The missing standard library for TypeScript, for writing production-grade software.",Unknown,MIT,General,2025-11-20,4,23980797,12000,"893,98","245,31",https://www.npmjs.com/package/effect,https://github.com/Effect-TS/effect,https://effect.website
@vue/server-renderer,3.5.25,@vue/server-renderer,Evan You,MIT,Frontend Framework,2025-11-24,0,23720899,52200,"16,26","6,24",https://www.npmjs.com/package/@vue/server-renderer,https://github.com/vuejs/core,https://github.com/vuejs/core/tree/main/packages/server-renderer#readme
@nestjs/core,11.1.9,"Nest - modern, fast, powerful node.js web framework (@core)",Kamil Mysliwiec,MIT,Web Framework,2025-11-14,10,23550184,73614,"189,03","49,3",https://www.npmjs.com/package/@nestjs/core,https://github.com/nestjs/nest,https://nestjs.com
chart.js,4.5.1,Simple HTML5 charts using the canvas element.,Unknown,MIT,General,2025-10-13,42,23367985,66800,"202,85","67,82",https://www.npmjs.com/package/chart.js,https://github.com/chartjs/Chart.js,https://www.chartjs.org
d3,7.9.0,Data-Driven Documents,Mike Bostock,ISC,General,2025-05-17,191,22626024,112000,"290,35","90,66",https://www.npmjs.com/package/d3,https://github.com/d3/d3,https://d3js.org
helmet,8.1.0,help secure Express/Connect apps with various HTTP headers,Adam Baldwin,MIT,"Web Framework, Security",2025-03-17,252,22625837,10600,"11,95","3,17",https://www.npmjs.com/package/helmet,https://github.com/helmetjs/helmet,https://helmetjs.github.io/
class-validator,0.14.3,Decorator-based property validation for classes.,TypeStack contributors,MIT,Validation,2025-11-24,0,22399966,11600,"375,23","98,29",https://www.npmjs.com/package/class-validator,https://github.com/typestack/class-validator,https://github.com/typestack/class-validator#readme
koa,3.1.1,Koa web app framework,Unknown,MIT,Web Framework,2025-10-27,28,21653424,35687,"64,7",0,https://www.npmjs.com/package/koa,https://github.com/koajs/koa,https://koajs.com
bcryptjs,3.0.3,"Optimized bcrypt in plain JavaScript with zero dependencies, with TypeScript support. Compatible to 'bcrypt'.",Daniel Wirtz,BSD-3-Clause,Security,2025-11-02,22,21625439,3800,"20,1","9,15",https://www.npmjs.com/package/bcryptjs,https://github.com/dcodeIO/bcrypt.js,https://github.com/dcodeIO/bcrypt.js#readme
cookie-parser,1.4.7,Parse HTTP request cookies,TJ Holowaychuk,MIT,General,2024-10-08,412,21501438,2000,"4,33","1,72",https://www.npmjs.com/package/cookie-parser,https://github.com/expressjs/cookie-parser,https://github.com/expressjs/cookie-parser#readme
papaparse,5.5.3,Fast and powerful CSV parser for the browser that supports web workers and streaming large files. Converts CSV to JSON and JSON to CSV.,Matthew Holt,MIT,General,2025-05-19,189,20724236,13300,"18,95","6,8",https://www.npmjs.com/package/papaparse,https://github.com/mholt/PapaParse,https://www.papaparse.com/
bootstrap,5.3.8,"The most popular front-end framework for developing responsive, mobile first projects on the web.",The Bootstrap Authors,MIT,General,2025-11-03,21,20665554,174000,"59,14",16,https://www.npmjs.com/package/bootstrap,https://github.com/twbs/bootstrap,https://getbootstrap.com/
nock,14.0.10,HTTP server mocking and expectations library for Node.js,Pedro Teixeira,MIT,Web Framework,2025-09-29,56,19697269,13100,185,0,https://www.npmjs.com/package/nock,https://github.com/nock/nock,https://github.com/nock/nock#readme
passport,0.7.0,"Simple, unobtrusive authentication for Node.js.",Jared Hanson,MIT,"Web Framework, Security",2025-01-10,318,18121570,23500,"9,22","2,73",https://www.npmjs.com/package/passport,https://github.com/jaredhanson/passport,https://www.passportjs.org/
relay-runtime,20.1.1,A core runtime for building GraphQL-driven applications.,Unknown,MIT,"API Framework, Build Tool, UI Component",2025-11-24,0,17668609,18890,"174,21","45,57",https://www.npmjs.com/package/relay-runtime,https://github.com/facebook/relay,https://relay.dev
@angular/core,21.0.0,Angular - the core framework,angular,MIT,Frontend Framework,2025-11-19,5,17548892,99380,6740,0,https://www.npmjs.com/package/@angular/core,https://github.com/angular/angular,https://github.com/angular/angular#readme
xlsx,0.18.5,SheetJS Spreadsheet data parser and writer,sheetjs,Apache-2.0,General,2024-10-22,398,17469433,36000,"411,62","135,62",https://www.npmjs.com/package/xlsx,https://github.com/SheetJS/sheetjs,https://sheetjs.com/
node-html-parser,7.0.1,"A very fast HTML parser, generating a simplified DOM, with basic element query support.",Xiaoyi Shi,MIT,General,2024-12-26,333,17034204,1200,"180,41","73,67",https://www.npmjs.com/package/node-html-parser,https://github.com/taoqf/node-fast-html-parser,https://github.com/taoqf/node-fast-html-parser
roarr,7.21.2,JSON logger for Node.js and browser.,Gajus Kuizinas,BSD-3-Clause,General,2025-10-26,29,16959677,1100,"17,65","5,39",https://www.npmjs.com/package/roarr,ssh://git@github.com/gajus/roarr,https://github.com/gajus/roarr#readme
vue-router,4.6.3,> - This is the repository for Vue Router 4 (for Vue 3) > - For Vue Router 3 (for Vue 2) see [vuejs/vue-router](https://github.com/vuejs/vue-router).,Eduardo San Martin Morote,MIT,Frontend Framework,2025-10-16,39,16945213,4400,"36,37","13,14",https://www.npmjs.com/package/vue-router,https://github.com/vuejs/router,https://router.vuejs.org
node-cache,5.1.2,Simple and fast NodeJS internal caching. Node internal in memory cache like memcached.,mpneuried,MIT,General,2024-10-22,398,16676348,2400,"8,77","3,02",https://www.npmjs.com/package/node-cache,https://github.com/node-cache/node-cache,https://github.com/node-cache/node-cache
mysql2,3.15.3,"fast mysql driver. Implements core protocol, prepared statements, ssl and compression in native JS",Andrey Sidorov,MIT,"Database/ORM, CLI Tool, State Management",2025-10-21,34,16616077,4300,"773,42","333,01",https://www.npmjs.com/package/mysql2,https://github.com/sidorares/node-mysql2,https://sidorares.github.io/node-mysql2/docs
@angular/cli,21.0.0,CLI tool for Angular,Angular Authors,MIT,"Frontend Framework, CLI Tool, Utility",2025-11-19,5,16186849,27015,1410,0,https://www.npmjs.com/package/@angular/cli,https://github.com/angular/angular-cli,https://github.com/angular/angular-cli
jspdf,3.0.4,PDF Document creation from JavaScript,Unknown,MIT,General,2025-11-19,5,16161034,30800,"395,86","124,31",https://www.npmjs.com/package/jspdf,https://github.com/parallax/jsPDF,https://github.com/parallax/jsPDF
sanitize-html,2.17.0,"Clean up user-submitted HTML, preserving allowlisted elements and allowlisted attributes on a per-element basis","Apostrophe Technologies, Inc.",MIT,General,2025-09-17,68,15821141,4100,"196,67","81,41",https://www.npmjs.com/package/sanitize-html,https://github.com/apostrophecms/sanitize-html,https://github.com/apostrophecms/sanitize-html#readme
cron,4.3.4,Cron jobs for your node,Nick Campbell,MIT,General,2025-11-06,18,15600170,8900,"93,72","28,19",https://www.npmjs.com/package/cron,https://github.com/kelektiv/node-cron,https://github.com/kelektiv/node-cron#readme
mongoose,9.0.0,Mongoose MongoDB ODM,Guillermo Rauch,MIT,"Database/ORM, State Management, Validation",2025-11-21,3,14814798,27400,"1275,67","341,25",https://www.npmjs.com/package/mongoose,https://github.com/Automattic/mongoose,https://mongoosejs.com
ky,1.14.0,Tiny and elegant HTTP client based on the Fetch API,Sindre Sorhus,MIT,CLI Tool,2025-11-04,20,14751408,16000,"13,96","4,84",https://www.npmjs.com/package/ky,https://github.com/sindresorhus/ky,https://github.com/sindresorhus/ky#readme
